Attributes,Values
Power Load (MWh/year),10000.0
Heat Load (MWh/year),29308.348
Power Load Factor (%),45.31
Heat Load Factor (%),47.38
Power Consumption (MWh/year),17776.196
Net Power Consumption (MWh/year),6959.024
Gas Consumption (MWh/year),1711.877
Total Cost (M$/year),1.799
Operational Emissions (MtonCO2/year),3.07
LCOE (Energy) ($/kWh),0.046
CIE (Energy) (kgCO2/kWh),0.078
Gas Boiler Capacity (MW),2.172
Heat Pump Capacity (MW),3.814
Electric Boiler Capacity (MW),0.084
Battery Capacity (MWh),1.509
Thermal Storage Energy Capacity (MWh),18.505
Thermal Storage Power Capacity (MW),1.27
PV System Capacity (MW),0.699
Wind System Capacity (MW),2.643
Battery Cycles (cycles/year),545.289
